date	time	filename	physio_files	edf_file	edf_filesize	acq_time
2023-05-25	19:45:00.355000	sub-001/ses-pilot013/dwi/sub-001_ses-pilot013_acq-pilotrel_dir-PA_dwi.nii.gz	session2023-05-25T19:18:02.acq	resting_state_2023-05-25_19h42.17.085.EDF	27491.5810546875	2023-05-25 19:45:00.355000
2023-05-25	20:08:12.622500	sub-001/ses-pilot013/dwi/sub-001_ses-pilot013_acq-lowres_dir-PA_dwi.nii.gz	n/a	resting_state_2023-05-25_20h06.10.962.EDF	27665.0087890625	2023-05-25 20:08:12.622500
2023-05-25	20:34:31.337500	sub-001/ses-pilot013/func/sub-001_ses-pilot013_task-qct_dir-AP_echo-1_bold.nii.gz	n/a	control_task_1_FINAL_2023-05-25_20h30.12.724.EDF	4808.94140625	2023-05-25 20:34:31.337500
2023-05-25	20:39:37.207500	sub-001/ses-pilot013/func/sub-001_ses-pilot013_task-pilotrest_dir-AP_echo-1_bold.nii.gz	n/a	resting_state_2023-05-25_20h39.27.061.EDF	27833.0478515625	2023-05-25 20:39:37.207500
2023-05-25	21:01:15.440000	sub-001/ses-pilot013/func/sub-001_ses-pilot013_task-bht_dir-AP_echo-1_bold.nii.gz	n/a	179297_breath_holding_task_2023-05-25_21h01.23.459.EDF	16931.671875	2023-05-25 21:01:15.440000
2023-05-30	18:49:22.365000	sub-001/ses-pilot014/dwi/sub-001_ses-pilot014_acq-pilotrel_dir-PA_dwi.nii.gz	session2023-05-30T18:26:47.acq	resting_state_2023-05-30_18h46.02.496.EDF	27455.7607421875	2023-05-30 18:49:22.365000
2023-05-30	19:13:12.290000	sub-001/ses-pilot014/func/sub-001_ses-pilot014_task-qct_dir-AP_echo-1_bold.nii.gz	n/a	control_task_1_FINAL_2023-05-30_19h11.11.439.EDF	3941.4853515625	2023-05-30 19:13:12.290000
2023-05-30	19:18:59.380000	sub-001/ses-pilot014/func/sub-001_ses-pilot014_task-pilotrest_dir-AP_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-05-30 19:18:59.380000
2023-05-30	19:41:02.432500	sub-001/ses-pilot014/func/sub-001_ses-pilot014_task-bht_dir-AP_run-1_echo-1_bold.nii.gz	n/a	407075_breath_holding_task_2023-05-30_19h40.52.600.EDF	17818.021484375	2023-05-30 19:41:02.432500
2023-05-31	14:04:47.197500	sub-001/ses-pilot014/func/sub-001_ses-pilot014_task-bht_dir-LR_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-05-31 14:04:47.197500
2023-05-31	14:10:49.315000	sub-001/ses-pilot014/func/sub-001_ses-pilot014_task-bht_dir-AP_run-2_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-05-31 14:10:49.315000
2023-06-20	16:57:15.795000	sub-001/ses-pilot015/dwi/sub-001_ses-pilot015_acq-pilotrel_dir-LR_dwi.nii.gz	session2023-06-20T16:31:33.acq	n/a	n/a	2023-06-20 16:57:15.795000
2023-06-20	17:34:06.377500	sub-001/ses-pilot015/func/sub-001_ses-pilot015_task-qct_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	control_task_1_FINAL_2023-06-20_17h30.27.181.EDF	1724.029296875	2023-06-20 17:34:06.377500
2023-06-20	17:43:14.382500	sub-001/ses-pilot015/func/sub-001_ses-pilot015_task-pilotrest_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	resting_state_2023-06-20_17h41.51.034.EDF	13276.330078125	2023-06-20 17:43:14.382500
2023-06-20	18:05:26.482500	sub-001/ses-pilot015/func/sub-001_ses-pilot015_task-bht_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	815248_breath_holding_task_2023-06-20_18h04.46.377.EDF	3658.6259765625	2023-06-20 18:05:26.482500
2023-07-14	17:49:15.320000	sub-001/ses-pilot016/dwi/sub-001_ses-pilot016_acq-pilotrel_dir-RL_dwi.nii.gz	session2023-07-14T17:17:11.acq	n/a	n/a	2023-07-14 17:49:15.320000
2023-07-14	18:30:47.372500	sub-001/ses-pilot016/func/sub-001_ses-pilot016_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	control_task_1_FINAL_2023-07-14_18h27.05.674.EDF	2185.14453125	2023-07-14 18:30:47.372500
2023-07-14	18:39:23.372500	sub-001/ses-pilot016/func/sub-001_ses-pilot016_task-pilotrest_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	resting_state_2023-07-14_18h39.18.972.EDF	14123.6279296875	2023-07-14 18:39:23.372500
2023-07-14	19:01:31.237500	sub-001/ses-pilot016/func/sub-001_ses-pilot016_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	n/a	n/a	2023-07-14 19:01:31.237500
2023-09-25	18:47:57.615000	sub-001/ses-pilot019/dwi/sub-001_ses-pilot019_acq-pilotrel_dir-PA_dwi.nii.gz	session2023-09-25T17:54:51.acq	n/a	n/a	2023-09-25 18:47:57.615000
2023-09-25	19:25:36.225000	sub-001/ses-pilot019/func/sub-001_ses-pilot019_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	n/a	n/a	2023-09-25 19:25:36.225000
